Date,Price
2019-05-10,78.23
2019-05-11,77.75
2019-05-12,77.34
2019-05-13,77.04
2019-05-14,76.79
2019-05-15,76.79
2019-05-16,76.79
2019-05-17,76.71
2019-05-18,76.64
2019-05-19,76.64
2019-05-20,76.73
2019-05-21,76.78
2019-05-22,76.78
2019-05-23,76.86
2019-05-24,77.0
2019-05-25,77.14
2019-05-26,77.28
2019-05-27,77.38
2019-05-28,77.47
2019-05-29,77.47
2019-05-30,77.41
2019-05-31,77.34
2019-06-01,77.28
2019-06-02,77.16
2019-06-03,76.98
2019-06-04,76.91
2019-06-05,76.91
2019-06-06,76.76
2019-06-07,76.63
2019-06-08,76.41
2019-06-09,76.25
2019-06-10,76.12
2019-06-11,76.12
2019-06-12,76.12
2019-06-13,76.04
2019-06-14,75.88
2019-06-15,75.69
2019-06-16,75.63
2019-06-17,75.63
2019-06-18,75.63
2019-06-19,75.63
2019-06-20,75.63
2019-06-21,75.63
2019-06-22,75.63
2019-06-23,75.68
2019-06-24,75.75
2019-06-25,75.75
2019-06-26,75.75
2019-06-27,75.82
2019-06-28,75.87
2019-06-29,75.97
2019-06-30,76.06
2019-07-01,76.11
2019-07-02,76.15
2019-07-03,76.15
2019-07-04,76.15
2019-07-05,76.15
2019-07-06,78.57
2019-07-07,78.57
2019-07-08,78.57
2019-07-09,78.52
2019-07-10,78.52
2019-07-11,78.52
2019-07-12,78.52
2019-07-13,78.61
2019-07-14,78.69
2019-07-15,78.82
2019-07-16,78.88
2019-07-17,78.88
2019-07-18,78.96
2019-07-19,78.96
2019-07-20,78.96
2019-07-21,78.96
2019-07-22,78.96
2019-07-23,79.02
2019-07-24,79.02
2019-07-25,78.96
2019-07-26,78.9
2019-07-27,78.85
2019-07-28,78.75
2019-07-29,78.61
2019-07-30,78.48
2019-07-31,78.48
2019-08-01,78.42
2019-08-02,78.34
2019-08-03,78.27
2019-08-04,78.17
2019-08-05,78.02
2019-08-06,77.93
2019-08-07,77.93
2019-08-08,77.89
2019-08-09,77.74
2019-08-10,77.74
2019-08-11,77.65
2019-08-12,77.65
2019-08-13,77.65
2019-08-14,77.65
2019-08-15,77.65
2019-08-16,77.65
2019-08-17,77.65
2019-08-18,77.57
2019-08-19,77.5
2019-08-20,77.5
2019-08-21,77.5
2019-08-22,77.5
2019-08-23,77.5
2019-08-24,77.58
2019-08-25,77.65
2019-08-26,77.73
2019-08-27,77.73
2019-08-28,77.73
2019-08-29,77.67
2019-08-30,77.67
2019-08-31,77.67
2019-09-01,77.67
2019-09-02,77.67
2019-09-03,77.67
2019-09-04,77.67
2019-09-05,77.62
2019-09-06,77.54
